City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
604,Barranco,PA,76.23,overcast clouds,9.5167,-82.7,Casa doña Delfina Jiménez
606,Shetpe,KZ,83.97,clear sky,44.1667,52.1167,Rtsm Shetpe Analog
607,La Asuncion,VE,78.53,broken clouds,11.0333,-63.8628,Colinas de Matasiete
614,Midland,US,81.48,clear sky,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
616,Saint-Georges,GD,78.55,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
617,Palu,ID,81.77,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
618,Manavalakurichi,IN,86.65,broken clouds,8.1333,77.3,Jebinrio home
632,Le Port,RE,78.76,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
634,Dandong,CN,81.37,scattered clouds,40.1292,124.3947,Yiranju Farmstay
637,Galesong,ID,77.02,broken clouds,-5.3166,119.3661,Sapriadi Appy
639,Altay,CN,77.2,scattered clouds,47.8667,88.1167,Jinqiao Hotel
640,Khandbari,NP,80.1,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
645,Sinnamary,GF,76.08,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
647,Vezirkopru,TR,75.69,few clouds,41.1436,35.4547,Vezirkopru Ogretmenevi
654,Biking,PH,84.56,broken clouds,9.5938,123.843,Dream Native Resort - Hotel Restaurant
657,Kutum,SD,82.29,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
667,Lithakia,GR,79.97,broken clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
670,Cayenne,GF,75.24,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
671,Ambilobe,MG,84.02,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
675,Mlonggo,ID,84.61,scattered clouds,-6.5333,110.7,Asia Metal Art
681,Dharmanagar,IN,78.26,overcast clouds,24.3667,92.1667,Juri Lodge
683,Churapcha,RU,76.15,scattered clouds,62.0025,132.4325,"""Tusku"""
685,Norsup,VU,78.1,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
691,Tomatlan,MX,77.05,overcast clouds,19.9333,-105.25,El Salvial
692,Brownsville,US,80.91,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
693,Khowst,AF,82.27,clear sky,33.3833,69.8833,وچه خوړه،Wacha Khwara
694,Nieuw Amsterdam,SR,77.02,broken clouds,5.8833,-55.0833,Hotel Stardust
695,Bibbiena,IT,77.59,clear sky,43.6965,11.8135,Hotel Borgo Antico
